Group,utteranceID,Start,End,CPS_CONST_SharesU_Situation,CPS_CONST_SharesU_CorrectSolutions,CPS_CONST_SharesU_IncorrectSolutions,CPS_CONST_EstablishesCG_Confirms,CPS_CONST_EstablishesCG_Interrupts,CPS_NEG_Responds_Reasons,CPS_NEG_Responds_QuestionsOthers,CPS_NEG_Responds_Responds,CPS_NEG_MonitorsE_Results,CPS_NEG_MonitorsE_Strategizes,CPS_NEG_MonitorsE_Save,CPS_NEG_MonitorsE_GivingUp,CPS_MAINTAIN_Initiative_Suggestions,CPS_MAINTAIN_Initiative_Compliments,CPS_MAINTAIN_Initiative_Criticizes,CPS_MAINTAIN_FulfillsR_Support,CPS_MAINTAIN_FulfillsR_Apologizes,CPS_MAINTAIN_FulfillsR_InitiatesOffTopic,CPS_MAINTAIN_FulfillsR_JoinsOffTopic,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp
Group_01,Group_01_0,3.45,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.76204,0.32632357,16.930578,29.979998,35.880955,18.950377,407.18173,380.5255,304.3261,488.84363,0.6202149,0.6611344,0.34092963,0.49281758,0.7694672,0.42853755,5.395392,4.319427,5.7305813,5.4904513,0.39632726,0.72597885,23.514015,0.32054335,11.681364,0.9256013,9.8580675,0.8550924,-6.9772224,-1.9991155,0.11016882,1.521917,1.3480297,0.5671767,2.726884,2.0559502,5.038997,3.0487676,22.296034,0.5393712,511.8172,0.27230248,1172.8069,0.16887492,-56.522663,-1.452667,1634.6511,0.12040356,912.5947,0.38145533,-67.43661,-1.0833963,2674.9045,0.08128019,814.53467,0.62489325,-68.52672,-1.0574913,-17.914133,-0.27433413,24.90527,0.2704865,-0.008880646,-3.7137494,-0.026108734,-0.39322048,0.44662568,0.7078592,25.058397,0.29370925,10.981116,1.0527986,9.636969,0.9474646,-9.49962,-1.5657378,-15.050194,20.927708,-0.029397829,-0.017900469,0.26141158,2.1621623,3.2967033,0.21916665,0.16007593,0.08444445,0.045973692,-29.580835
Group_01,Group_01_1,9.87,12.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.993805,0.3679974,15.466266,26.699078,36.02777,20.561504,94.2653,54.40301,87.00152,42.014137,0.61066884,0.47174162,0.39908248,0.5045252,0.8054654,0.40638292,6.899639,5.0922422,3.716064,2.499794,0.36003667,0.50519025,21.847298,0.30101794,7.640355,1.1767883,3.2152617,3.3008811,-4.2961235,-1.9529986,0.055501,1.6334087,1.566353,0.5620354,0.53211504,10.534295,-1.3602979,-13.560297,16.876637,1.0255454,494.42932,0.30537793,1257.8359,0.1865541,-76.317406,-1.1706427,1553.9071,0.13038248,1021.7027,0.28129047,-82.24873,-0.98863536,2656.2566,0.0805836,833.72205,0.51339394,-84.8962,-0.9354207,-15.169898,-0.26286167,23.78744,0.21290511,0.00047089646,56.582108,-0.020011496,-0.37380803,0.35949722,0.4543832,23.520697,0.2711026,10.183453,0.92950606,0.9738377,10.174361,-5.088887,-1.9264002,-10.544411,18.774075,-0.010319876,-0.01243094,0.37061408,3.9215686,4.4,0.13636364,0.14840195,0.07090909,0.049258973,-34.922283
Group_01,Group_01_2,12.63,15.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.420319,0.23964955,22.5105,28.444117,34.91983,12.40933,253.94312,252.39148,232.49863,337.75107,1.0351192,0.5845035,0.62911314,0.82870805,1.2567831,0.62767,16.329782,15.163951,19.844067,20.220076,0.832936,0.81372446,23.50031,0.30035242,4.2487593,2.3996744,3.3924806,3.4003253,-4.9190936,-1.8181432,0.0862977,1.4769104,1.6614932,0.56867576,0.5691581,5.6658683,0.9561068,13.3773155,19.42853,0.5476559,544.80707,0.38950142,1210.6753,0.15025792,-43.110218,-1.7760545,1591.3899,0.13810977,940.4205,0.32300127,-51.09797,-1.3685054,2674.97,0.10541602,858.3157,0.47602805,-55.133675,-1.2328155,-13.063879,-0.32837367,22.459429,0.2153387,0.01951979,1.2800778,-0.017429557,-0.46430337,0.84171957,0.8256959,25.119385,0.20084451,4.3797436,2.2749617,3.9248567,2.8968751,-5.875528,-1.5069644,-8.618783,17.816046,0.0014786747,-0.014572849,0.8400371,3.2258065,3.6065574,0.21272728,0.16619216,0.05875,0.040446725,-25.725327
Group_01,Group_01_3,16.2,21.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.174337,0.19914873,23.434143,32.54081,34.334145,10.900002,519.04803,518.65784,91.218666,40.44217,0.73331416,0.3207054,0.54475164,0.68200177,0.8830049,0.33825326,5.7450175,5.0401173,3.8410707,2.5719364,0.45804688,0.4320394,22.728836,0.2955173,5.7103043,1.5542623,8.146855,1.2299196,-6.873083,-1.435289,0.063871324,1.6385506,1.4153615,0.45513242,2.2873955,1.6328839,5.663172,1.9524118,21.221138,0.3258076,504.7752,0.3207112,1229.1954,0.15882236,-57.647316,-1.4626651,1610.3209,0.12640421,933.26135,0.3931725,-64.37675,-1.1801293,2662.4055,0.08940075,863.8969,0.3925391,-67.04214,-1.108854,-14.162131,-0.25451666,21.803082,0.20435093,0.0095876,2.7382877,-0.022491338,-0.3134682,0.511418,0.3985648,24.721529,0.23131382,4.6599507,1.9688013,8.51461,1.23972,-8.53071,-1.1765062,-11.803438,18.35274,-0.007167383,-0.017833153,0.33268642,4.466019,3.5573123,0.19666666,0.12560962,0.074,0.05930711,-32.618923
Group_01,Group_01_4,22.17,24.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.324306,0.30117944,15.940794,23.747028,31.804295,15.863501,224.52278,106.47422,238.26334,224.86299,0.555527,0.2928473,0.41362506,0.5077051,0.7100717,0.29644662,3.018006,1.7049153,2.5613127,1.8828269,0.35990334,0.34508997,22.140038,0.21554287,7.8756237,0.92278385,6.584779,1.2302039,-4.4131603,-1.6976264,0.1036562,1.4019183,1.6166227,0.5658897,-0.92900056,-3.9234645,0.043461077,349.11334,15.484552,0.93546385,497.41495,0.20448425,1195.6816,0.1337598,-83.18165,-1.0825844,1603.5023,0.076392464,991.17926,0.2841053,-90.35708,-0.9154534,2649.107,0.07513766,887.17255,0.45359224,-92.20857,-0.8808435,-14.51022,-0.19097726,21.532385,0.18254972,-0.010845185,-1.6596888,-0.020759908,-0.38427567,0.38541022,0.31385884,23.873402,0.19550239,5.831204,1.1827079,7.4793873,1.0445284,-5.8372836,-1.3333324,-14.4604225,22.517038,-0.020796502,-0.01748522,0.33457747,5.2884617,4.9751244,0.111999996,0.12006664,0.09714285,0.050628696,-36.38976
Group_01,Group_01_5,24.42,27.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.14362,0.1558206,30.972267,34.10253,35.360523,4.388256,471.9861,345.65668,47.551968,76.254974,0.74969435,0.34125015,0.5249758,0.6792743,0.97214496,0.44716918,5.913308,3.4156594,4.9761863,2.369326,0.46665278,0.4574553,25.057182,0.28915137,6.3227296,1.8770562,6.3342247,1.9853537,-10.95205,-1.309122,0.057028852,1.7690843,1.3647782,0.4489924,3.017802,1.3479527,4.331829,2.4957309,21.514837,0.41368556,472.12646,0.29618523,1199.95,0.16073023,-44.02118,-1.736633,1548.1396,0.13754612,898.1308,0.52596414,-50.754498,-1.3053308,2676.7273,0.07578669,766.4012,0.5463959,-55.16759,-1.161209,-13.764836,-0.34071246,22.983746,0.27172917,0.013103077,2.0020454,-0.020951495,-0.34312594,0.50434047,0.42694476,26.557798,0.23557965,4.7970653,2.4358118,6.6730757,2.0314977,-13.216595,-1.0787259,-13.474912,19.755093,-0.0054936535,-0.023305202,0.37218446,4.587156,3.8216562,0.20166665,0.12798654,0.052222222,0.032923404,-31.761768
Group_01,Group_01_6,28.74,31.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.716904,0.31169626,14.703699,29.760662,32.70812,18.00442,202.4669,85.4827,106.470314,87.711525,0.60738635,0.3781596,0.43291295,0.5190684,0.76375204,0.3308391,3.3259022,1.707343,3.222108,2.5850773,0.41045237,0.44735098,23.525179,0.24841349,6.599545,1.2411511,0.87494975,9.194336,-4.891647,-2.044084,0.057006657,2.1109781,1.2327255,0.5257481,1.0074424,4.838683,5.2316732,4.863997,20.273071,0.3351214,475.47235,0.22098032,1123.7643,0.14423873,-83.03593,-1.1097769,1511.7504,0.11753351,939.18616,0.2897049,-89.95644,-0.9471854,2658.097,0.06807125,922.63855,0.4784283,-94.33227,-0.86515886,-16.306467,-0.2486683,27.152609,0.16536385,-0.018431721,-1.5566008,-0.020355105,-0.3520151,0.4491183,0.44182143,25.945377,0.2117979,6.4013343,1.3554322,0.42616144,21.010176,-7.6128073,-1.4126195,-13.091161,22.517828,-0.023751216,-0.014385072,0.35889018,3.4749036,4.347826,0.12727273,0.09264702,0.08272727,0.04937627,-34.042553
Group_01,Group_01_7,31.44,34.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.806326,0.17706224,31.542551,32.65179,35.063377,3.5208263,193.54587,129.97227,282.54285,415.51538,0.82653135,0.3353061,0.5908492,0.7630217,1.0644021,0.47355288,7.125253,5.231835,4.496376,2.82824,0.517029,0.48527122,24.495405,0.24757245,2.213363,4.740203,5.549133,2.3909233,-11.674156,-0.9960241,0.034532145,1.8192823,1.395852,0.46270028,3.0140865,1.2822093,1.3313614,5.9343147,19.909544,0.33968702,436.7298,0.21320592,1137.2123,0.16222641,-40.496788,-1.912388,1514.3705,0.1039249,815.07764,0.31893146,-48.42842,-1.3932871,2602.9111,0.08321555,789.248,0.40886942,-52.027775,-1.2660012,-13.059674,-0.26144445,20.885582,0.23859157,0.011956507,1.7911159,-0.026194995,-0.2952179,0.5478653,0.47574022,25.62753,0.2199087,1.5918626,6.629485,6.369025,2.17322,-13.120468,-0.90509063,-11.825927,19.644106,-0.002116643,-0.017529847,0.41153306,5.1612906,3.630363,0.21181817,0.20211686,0.05111111,0.032126293,-31.597672
Group_01,Group_01_8,35.01,36.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.835192,0.27624884,15.4138365,20.932451,26.225815,10.811978,273.29773,310.8478,145.74849,115.246056,0.51323664,0.2623072,0.40012187,0.47835445,0.6260931,0.22597122,3.5080407,1.3786184,1.6946015,1.2373267,0.32419366,0.3031094,22.891966,0.21681069,7.7073226,0.9088228,7.651882,0.9785672,0.14907756,51.785007,0.06787505,1.1604134,1.2898177,0.6813805,-1.6571469,-1.8243332,-2.477563,-6.8919735,14.492231,1.1037366,485.06015,0.22942445,1198.2986,0.14488232,-65.89843,-1.2153633,1596.6959,0.08844156,975.9979,0.42924115,-75.75295,-0.97884953,2653.7935,0.07145253,956.1515,0.39161712,-77.93731,-0.9329349,-15.2664795,-0.26026687,23.150515,0.2213571,-0.017258167,-1.5187573,-0.017810887,-0.46034375,0.34892443,0.2659444,24.017538,0.18972665,7.9453197,0.9334847,7.9791946,1.0251304,0.48481333,16.83608,-13.8418045,21.541452,-0.022670215,-0.016036175,0.28064853,5.1282053,5.7894735,0.11090909,0.081291236,0.04888889,0.043829072,-37.451298
Group_01,Group_01_9,37.83,47.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.000145,0.25366333,24.366312,34.257854,38.048515,13.682203,513.36884,694.0421,249.53368,450.04544,1.1990985,0.70602435,0.58380216,0.9072306,1.7151773,1.1313751,22.323246,25.230913,10.819098,8.91942,0.9791153,1.0806508,20.873392,0.43130472,5.19248,2.1124392,6.197691,2.1480713,-6.616967,-1.951545,0.055031843,1.7186928,1.2874322,0.6097484,3.624367,1.5502186,4.2862906,3.6371536,17.37729,0.7460075,500.5359,0.34610263,1178.3672,0.19132851,-72.99237,-1.2265064,1593.2825,0.1367873,852.3024,0.4070601,-73.68296,-1.0734318,2634.4343,0.08663719,833.6142,0.43180117,-75.48143,-1.0312144,-13.740235,-0.36634243,22.034113,0.263837,0.007873446,4.956216,-0.02111082,-0.5027447,1.1092973,1.0699915,23.396677,0.3499153,4.118331,2.6919389,7.7269764,1.7767541,-9.5563345,-1.379238,-11.384946,19.834242,-0.02056861,-0.014307808,0.7124684,2.8084254,3.7298386,0.17513514,0.13797024,0.090344824,0.054676652,-22.744143
