utteranceID,Group,CPS_CONST_SharesU_Situation,CPS_CONST_SharesU_CorrectSolutions,CPS_CONST_SharesU_IncorrectSolutions,CPS_CONST_EstablishesCG_Confirms,CPS_CONST_EstablishesCG_Interrupts,CPS_NEG_Responds_Reasons,CPS_NEG_Responds_QuestionsOthers,CPS_NEG_Responds_Responds,CPS_NEG_MonitorsE_Results,CPS_NEG_MonitorsE_Strategizes,CPS_NEG_MonitorsE_Save,CPS_NEG_MonitorsE_GivingUp,CPS_MAINTAIN_Initiative_Suggestions,CPS_MAINTAIN_Initiative_Compliments,CPS_MAINTAIN_Initiative_Criticizes,CPS_MAINTAIN_FulfillsR_Support,CPS_MAINTAIN_FulfillsR_Apologizes,CPS_MAINTAIN_FulfillsR_InitiatesOffTopic,CPS_MAINTAIN_FulfillsR_JoinsOffTopic,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp
Group_10_0,Group_10,,,,,,,,,,,,,,,,,,,,29.65399,0.2960795,22.894814,30.958035,38.328762,15.4339485,223.07161,168.16959,176.75,116.58113,0.38930598,0.6904514,0.17225772,0.28969902,0.61449254,0.4422348,7.761324,6.7010164,3.8818603,2.3293552,0.20221691,0.977508,21.435673,0.48382318,6.693081,1.4641222,8.475815,1.2115918,-3.2168534,-4.4521837,0.063688315,1.4907618,1.4470022,0.634539,3.0935967,1.5783532,6.2396736,2.3796048,22.954664,0.6969453,540.42236,0.32594347,1230.6296,0.1668324,-102.51583,-0.90601206,1613.5498,0.14952752,1045.066,0.4229935,-103.449036,-0.8248515,2683.8167,0.11192334,927.93066,0.47764158,-105.83064,-0.7857959,-16.267096,-0.38942423,24.918602,0.32026127,0.000299684,120.81172,-0.023220876,-0.44918424,0.23598191,0.95878947,26.66991,0.3169267,6.679779,1.5296031,7.7811413,1.4631855,-8.727292,-1.7478018,-12.166541,21.195543,-0.038464583,-0.009878383,0.16587758,2.857143,3.4234235,0.1468421,0.14480668,0.12833333,0.116344795,-38.08543
Group_10_1,Group_10,,,,,,,,,,,,,,,,,,,,25.843382,0.3986466,14.373047,23.776102,37.3898,23.016754,404.8411,593.46893,176.4734,165.70369,0.16248988,0.4059536,0.11935471,0.14640902,0.18736741,0.0680127,1.3692936,1.2785044,0.81118697,0.55453676,0.0903222,0.445636,22.324364,0.23593597,16.410017,0.5287228,9.724007,0.87691593,3.0553508,3.8092487,0.1721158,1.5089042,1.607991,0.51594496,-0.55163354,-10.912228,6.696462,2.7547605,22.614355,0.51336944,477.15182,0.27222064,1189.8712,0.15044412,-100.091515,-0.8821906,1613.9602,0.12924528,963.84406,0.38750285,-106.73315,-0.7399863,2639.4614,0.07563987,759.1337,0.5145499,-107.44775,-0.72884405,-19.203096,-0.21871422,26.78993,0.17927817,-0.014931798,-2.1041172,-0.01793812,-0.53029627,0.09389524,0.42475104,23.942783,0.19922249,15.415133,0.63452816,11.08711,0.8303246,-2.3719006,-5.144721,-18.995672,27.969786,-0.034668405,-0.011376402,0.08785606,2.2573364,5.034325,0.095,0.0761428,0.087,0.06885492,-49.144756
Group_10_10,Group_10,,,,,,,,,,,,,,,,,,,,27.722044,0.31148914,15.816278,33.151947,34.11132,18.295042,552.16095,590.22626,179.06792,172.29007,0.18195045,0.3270074,0.12738688,0.17432089,0.22512968,0.097742796,1.3945605,0.8679258,0.9687474,0.5836695,0.078935504,0.32682568,25.569397,0.26688886,16.126535,0.5029074,11.689478,1.0496293,-5.5318084,-1.9779077,0.09817311,1.7394165,1.3469772,0.45058453,1.5906186,3.5440412,7.227874,1.6525148,26.993473,0.30387005,447.77393,0.22299483,1176.3597,0.12859923,-48.180897,-1.630906,1586.3169,0.13440014,918.3358,0.38076463,-62.673615,-1.1086144,2641.6228,0.079677284,839.0559,0.48615366,-65.594376,-1.0249395,-18.390879,-0.24065952,26.49098,0.23076014,0.006259589,4.173373,-0.020984594,-0.3481974,0.08216497,0.33422992,26.800331,0.25297326,14.970694,0.54443496,10.529773,1.2533835,-7.50216,-1.4466122,-20.086107,26.871956,-0.021701302,-0.01660703,0.06892298,4.205608,2.606635,0.29181817,0.29250696,0.0925,0.08799858,-48.222385
Group_10_100,Group_10,,,,,,,,,1,,,,,1,,,,,,26.272388,0.23616128,22.811611,26.89801,31.2695,8.45789,308.2029,308.59595,85.619576,98.48023,0.31820568,0.5499049,0.17131065,0.28872016,0.4265594,0.25524873,6.874816,8.011362,3.732804,4.0102205,0.1848579,1.0585359,18.911896,0.8019315,19.076632,0.81696826,11.60324,1.1979395,0.31639966,45.27258,0.062250208,1.8324627,1.4337717,0.7107869,2.1402564,2.6684093,12.276053,1.2921073,26.835178,0.34295255,492.4778,0.3255421,1245.6643,0.18109415,-99.00065,-0.91727734,1598.0392,0.15066822,1004.1049,0.4254611,-105.406685,-0.76502395,2658.9512,0.10689692,795.99896,0.6306796,-105.87357,-0.75877905,-18.659252,-0.42364016,26.603043,0.3397569,-0.005369241,-7.818503,-0.020472368,-0.56676567,0.2393232,1.0130794,27.259066,0.33299175,15.075443,0.84081423,16.539015,0.9479476,-6.2795987,-2.3417356,-11.095584,17.660574,-0.029380117,-0.008979896,0.1253243,3.8216562,4.5307446,0.11,0.14701797,0.0976923,0.07126914,-38.870117
Group_10_101,Group_10,,,,,1,,1,,1,,,,,,,,,,,25.546978,0.18243276,23.615921,25.761238,27.699669,4.083748,136.61064,126.61332,119.278755,101.83055,0.5879052,0.5480884,0.2919577,0.5323546,0.86205834,0.57010067,7.371297,6.1681128,5.1028366,2.4094436,0.36089644,0.78233945,25.013405,0.6307468,8.239588,1.6300021,16.47455,0.7709712,-0.9040941,-14.647591,0.062761344,2.098011,1.4539222,0.66408,2.9102535,1.5081159,-0.083576486,-127.52359,21.649286,0.37396282,458.3381,0.33971947,1157.9127,0.14853747,-53.717346,-1.5590895,1518.8225,0.15264377,846.7905,0.37754098,-63.742134,-1.1984667,2554.55,0.10294855,783.7518,0.39199984,-67.77176,-1.0908289,-17.045815,-0.3333718,25.271152,0.2732201,0.006246441,5.993697,-0.023593582,-0.52034587,0.43005544,0.6638788,31.933004,0.32225183,6.671406,2.0032642,17.087109,0.7797553,-3.2549884,-4.194381,-8.264566,15.790334,-0.03986066,-0.007414901,0.1519924,3.5252643,1.536643,0.48384616,0.40926832,0.188,0.15038615,-31.97471
Group_10_102,Group_10,1,,,,1,1,,1,1,,,1,,,,,,,,24.563904,0.22910991,20.196398,25.369232,29.216143,9.019745,210.01408,330.36404,100.34175,117.756256,0.42127484,0.60545945,0.21308741,0.37592518,0.5707061,0.35761872,6.062041,4.2193236,4.579953,3.2740307,0.25670928,0.86968154,23.50872,0.57091355,12.280427,1.1155016,14.4192705,0.8496536,3.723756,3.5045373,0.06948942,1.8381828,1.6182668,0.6413175,2.323519,1.8735023,2.5101788,5.4711504,22.663147,0.48234904,467.51892,0.39852205,1179.0233,0.18031864,-60.395977,-1.4002348,1530.9683,0.15975416,848.8614,0.38713908,-69.484604,-1.1150465,2563.2766,0.10646493,804.0158,0.3915135,-72.79619,-1.0357611,-16.836952,-0.37760308,25.831137,0.28757024,-0.004202437,-9.480966,-0.014212892,-0.74590546,0.29097348,0.8215027,28.524479,0.35967958,9.511745,1.3107369,15.966545,0.7497773,3.3429666,4.241365,-13.120344,20.838299,-0.03629505,-0.00948532,0.16817895,3.9203486,2.4344568,0.29,0.374994,0.1061111,0.1441118,-35.384254
Group_10_103,Group_10,,,,,,,,,,,,,,,,,,,,26.515823,0.19099106,26.604315,27.443628,29.949913,3.3455982,133.30907,103.470955,91.613266,55.158894,0.2458425,0.39971587,0.17002922,0.22306304,0.30414823,0.134119,2.2125204,1.6954228,1.4248552,1.2937753,0.13552749,0.7186742,25.05527,0.39717874,16.764143,0.4631144,26.93912,0.46251354,6.4819913,1.481567,0.028984973,1.7610505,1.1751373,0.61252415,5.0487595,0.88947815,5.646008,2.2530258,22.996723,0.32749903,469.21713,0.39855653,1178.6055,0.21695259,-36.444477,-1.6650077,1652.9797,0.12450395,846.314,0.4855807,-52.878498,-1.0068576,2552.3376,0.10315739,946.93665,0.42965946,-52.532993,-1.0128778,-21.490778,-0.24513854,29.267237,0.21670724,-0.030329846,-1.1848848,-0.01719085,-0.47324297,0.14242502,0.7194263,27.244755,0.30424225,17.375893,0.44352797,27.91621,0.45733106,7.184288,1.3934205,-11.935206,19.473778,-0.036024664,-0.009191226,0.10113561,2.8846154,2.189781,0.3866667,0.35194695,0.06666666,0.029814238,-40.36168
Group_10_104,Group_10,,1,,,,,,,,,,,,,,,,,,27.977167,0.15960482,27.536552,28.419851,30.694544,3.1579914,404.13385,620.2897,48.350067,26.523836,0.39198115,0.6378855,0.20225653,0.3225032,0.5326621,0.33040556,4.4461493,1.9745464,5.674014,3.0735924,0.21901098,0.9688805,21.803444,0.5756188,12.343987,1.0791049,13.555056,0.7800264,3.1794713,3.1536367,0.042434264,2.0364347,1.3206347,0.6801018,4.0458665,1.0576984,6.940801,1.0507497,27.562326,0.3444351,474.79825,0.34317026,1149.3507,0.17504203,-71.26318,-1.2334391,1560.1698,0.12168982,839.5671,0.355005,-80.61734,-0.9977073,2628.3323,0.08406257,823.8625,0.34353402,-84.5441,-0.9173096,-17.809484,-0.40343085,27.745457,0.27677318,-0.001380128,-23.84318,-0.017980158,-0.5547194,0.26281306,0.9122228,27.49856,0.33696353,11.71184,1.1396699,14.958648,0.7948061,1.7446828,6.211993,-13.333661,22.133114,-0.052569807,-0.007092169,0.13716514,3.5714288,2.5906737,0.251,0.16795534,0.113,0.14785466,-36.98658
Group_10_105,Group_10,,1,,1,1,,1,1,,,,,,,,1,,,,25.628567,0.1837942,23.153904,25.850927,29.059649,5.9057446,133.9273,113.299965,81.29124,74.57476,0.6111714,0.6314637,0.2986259,0.53302187,0.88192487,0.583299,7.6524916,4.032231,7.35275,4.4492946,0.37983283,0.84307647,26.355883,0.521856,7.5583634,1.9624256,18.276623,0.7480878,7.261841,2.1218383,0.051810004,1.8645238,1.3450739,0.6556736,2.794465,1.4558094,6.648587,1.4590174,24.575117,0.3165069,483.97528,0.4184628,1187.9703,0.18725958,-45.501637,-1.630928,1545.1908,0.166312,822.33203,0.34740683,-53.33557,-1.2806808,2587.8623,0.105162434,817.34796,0.37966806,-57.118332,-1.1633537,-15.263738,-0.4360315,24.354368,0.3105136,0.002627759,15.546197,-0.013784926,-0.8610999,0.42904624,0.7736153,30.079382,0.3470869,5.8549747,2.3542635,20.093987,0.6732223,6.35338,2.5397332,-9.8889675,18.505478,-0.03197137,-0.004646224,0.17620166,4.293263,2.319417,0.33971426,0.33245826,0.08678571,0.08242111,-31.05137
Group_10_106,Group_10,,,,,,,,1,,,,,,,,,,,,15.826368,0.23029259,13.160668,14.680828,18.08442,4.923751,307.93796,476.28583,139.88023,121.84326,0.12574089,0.39729446,0.09761788,0.10407819,0.14857423,0.050956354,2.12171,1.9380833,1.2641732,0.7288118,0.089786135,0.47508502,20.647717,0.2528843,20.91542,0.25636786,13.853807,0.447354,6.164823,0.92173535,0.12805866,1.1445295,2.0031333,0.70844084,-3.6426082,-0.88284254,11.508355,2.7179317,24.347242,0.18707608,436.80884,0.29530102,1314.6296,0.17678715,-127.10402,-0.6083169,1549.6453,0.09661235,1031.7583,0.2887644,-132.6278,-0.53819823,2631.301,0.07414493,875.47986,0.5160647,-133.01575,-0.53098625,-22.626057,-0.16925333,31.355186,0.15583158,-0.041846696,-0.7138829,-0.012818808,-0.56714475,0.09905956,0.52077997,22.371681,0.21450023,19.843128,0.20763269,13.941978,0.3701928,5.412688,1.1850809,-22.401337,31.031427,-0.050095733,-0.012526558,0.08388907,2.7559056,6.0240965,0.058000002,0.036914315,0.08133333,0.046456665,-49.094437
