Group,utteranceID,Start,End,CPS_CONST_SharesU_Situation,CPS_CONST_SharesU_CorrectSolutions,CPS_CONST_SharesU_IncorrectSolutions,CPS_CONST_EstablishesCG_Confirms,CPS_CONST_EstablishesCG_Interrupts,CPS_NEG_Responds_Reasons,CPS_NEG_Responds_QuestionsOthers,CPS_NEG_Responds_Responds,CPS_NEG_MonitorsE_Results,CPS_NEG_MonitorsE_Strategizes,CPS_NEG_MonitorsE_Save,CPS_NEG_MonitorsE_GivingUp,CPS_MAINTAIN_Initiative_Suggestions,CPS_MAINTAIN_Initiative_Compliments,CPS_MAINTAIN_Initiative_Criticizes,CPS_MAINTAIN_FulfillsR_Support,CPS_MAINTAIN_FulfillsR_Apologizes,CPS_MAINTAIN_FulfillsR_InitiatesOffTopic,CPS_MAINTAIN_FulfillsR_JoinsOffTopic,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp
Group_01,Group_01_0,3.449999999999992,7.080000000000014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.691408,0.30018947,20.093672,33.177425,36.102417,16.008745,359.9708,377.17935,200.35463,177.05733,0.62543184,0.65533817,0.34507105,0.4928688,0.77893656,0.43386552,5.958457,4.5031323,5.9017506,5.317082,0.38730896,0.67406154,23.476398,0.32444328,11.352693,0.9550118,9.640452,0.8718636,-7.131974,-1.9840215,0.07479521,1.4593154,1.3178986,0.63061917,3.1168,1.7487628,5.5082645,1.9266133,23.37438,0.39426032,510.98456,0.3008917,1193.0627,0.18624796,-58.958477,-1.4236794,1645.129,0.118533134,900.25543,0.35095248,-69.63208,-1.0767595,2699.8447,0.08713619,746.28723,0.3687994,-70.80205,-1.0475377,-17.866182,-0.27376565,24.958422,0.2680965,-0.007471492,-4.409333,-0.026817463,-0.38743162,0.44080967,0.6452467,25.252687,0.29464716,10.69236,1.0750291,9.178703,0.98269415,-10.052948,-1.4868947,-14.900835,20.58556,-0.030581411,-0.017373698,0.24765049,2.4657536,3.3333335,0.21249999,0.16578725,0.07272727,0.04692177,-29.523237
Group_01,Group_01_1,9.149999999999997,21.450000000000056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.60281,0.28115717,19.911484,30.903622,34.605247,14.693764,351.9835,424.6362,143.08218,156.56953,0.75545436,0.5417471,0.47825456,0.65196884,0.91860604,0.4403515,10.35221,13.645556,9.7198105,14.800284,0.51399976,0.80312854,22.695824,0.29280725,6.2520037,1.4532756,5.9972157,1.7510487,-5.323926,-1.7216046,0.07385627,1.5430235,1.4831392,0.5260783,0.8066172,5.3389482,2.6982007,5.756893,19.479881,0.63024646,507.81485,0.35612312,1214.0386,0.15559566,-56.987785,-1.4598558,1587.5035,0.12998526,920.07733,0.2826621,-64.36655,-1.1739577,2665.8062,0.09173969,834.21936,0.43312827,-67.36677,-1.0952923,-14.079078,-0.27480617,22.433754,0.21534215,0.007934047,3.576263,-0.019521728,-0.42260012,0.5441355,0.8046395,24.369337,0.2296394,6.1344895,1.515892,6.30904,1.7033747,-6.2392263,-1.5555755,-11.20229,18.999174,-0.01018566,-0.015511524,0.4356505,2.2727273,3.830481,0.18255319,0.15179028,0.0627907,0.041948225,-30.010635
Group_01,Group_01_2,21.960000000000075,24.300000000000164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.283766,0.291531,17.102043,29.81834,32.846973,15.74493,355.336,267.97278,148.89404,57.84203,0.5821809,0.33021945,0.42682278,0.5229163,0.75485826,0.32803547,5.499397,4.7997303,3.8737643,4.598995,0.35733178,0.32115328,21.373903,0.2624541,6.478784,1.2798617,6.666702,1.1905615,-5.0503054,-1.4651725,0.05356805,1.3705605,1.4056364,0.43873525,-0.73821515,-4.9201303,-3.049542,-6.3501215,12.670304,1.5017757,493.65216,0.25447667,1200.0774,0.1558919,-96.37181,-0.9312969,1577.454,0.08863463,1008.0762,0.31079015,-102.26296,-0.8158739,2661.6902,0.08361781,806.5145,0.2960353,-103.970825,-0.78721505,-13.832087,-0.2343082,21.179543,0.20802683,-0.01064185,-1.7708055,-0.020498095,-0.41608214,0.36252984,0.289136,24.157125,0.16250955,3.6198177,1.9564072,6.4788313,1.2231519,-6.0656404,-1.3543307,-13.301689,20.556923,-0.017165903,-0.017752388,0.36083883,4.661017,5.7268724,0.083846144,0.09880349,0.11125,0.06546707,-36.38695
Group_01,Group_01_3,24.45000000000017,29.85000000000037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.900469,0.27171046,20.476835,32.9177,34.961227,14.484392,278.06744,177.78876,175.48514,201.8896,0.65206164,0.3729919,0.45629615,0.574263,0.8312086,0.37491244,5.214072,3.2173955,4.284814,2.495982,0.41352075,0.4671532,23.274666,0.28442332,7.7732506,1.3312632,7.5139318,1.4628494,-7.5069165,-1.7242372,0.07044426,1.742652,1.2938634,0.52469814,1.506286,2.8823857,4.826355,4.169054,19.552725,0.5176081,463.92804,0.2734472,1168.0651,0.17173016,-59.68764,-1.3979068,1552.3123,0.12055709,854.7468,0.41783023,-67.0301,-1.1291382,2678.7998,0.07011498,730.6632,0.56681937,-70.31933,-1.0461003,-14.412936,-0.3256049,22.965256,0.27004048,0.0023926075,13.099311,-0.021054804,-0.36482185,0.44733837,0.47006142,24.884207,0.25402886,6.462239,1.6350585,8.02946,1.475141,-10.420172,-1.2822045,-13.888987,21.64462,-0.017453501,-0.018349439,0.3349567,3.6900368,3.7313435,0.186,0.2011815,0.08571428,0.05150787,-33.265484
Group_01,Group_01_4,30.03000000000038,35.8800000000006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.075119,0.20794007,25.304356,32.263348,34.091705,8.78735,253.00769,213.77188,281.51724,482.73965,0.7281071,0.3876969,0.46256736,0.67266417,0.9734485,0.5108812,7.0888624,5.391478,5.1263924,4.9223447,0.44802973,0.46716297,25.016335,0.23129204,3.4263885,2.8315635,2.9302738,3.9688103,-9.623971,-1.1113086,0.048027065,2.0767865,1.3880895,0.51507705,2.0711384,2.04827,-0.43121442,-21.433804,19.682632,0.46630698,459.29276,0.23438638,1151.3081,0.17034875,-50.38846,-1.6341144,1509.1713,0.115532026,903.1838,0.3524815,-58.31261,-1.2870144,2634.5562,0.0762603,870.77924,0.48928463,-63.141407,-1.1469237,-13.687303,-0.26701742,22.866941,0.23505661,0.0028503633,9.005125,-0.023660593,-0.33159935,0.48127103,0.4530204,26.513092,0.1958182,2.564779,3.8351889,2.9430263,4.365545,-11.594135,-0.93565035,-12.705723,21.035288,-0.007790792,-0.016504567,0.35835853,4.258944,3.4423409,0.21,0.22165287,0.073125,0.045376033,-32.686714
Group_01,Group_01_5,36.33000000000062,47.82000000000105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.003965,0.26923838,21.733871,33.341652,37.240803,15.506931,314.19073,432.80347,243.50166,358.90933,1.1039487,0.74810547,0.53577787,0.8019018,1.5512713,1.0154934,19.921753,18.90512,12.186299,11.109743,0.8899552,1.1187674,20.81518,0.4133499,5.800993,1.8254433,6.1178203,2.059959,-5.866648,-2.1326482,0.07176354,1.6913724,1.3165452,0.6115001,3.0450559,1.8196306,3.3265612,3.7521443,17.302998,0.6780583,507.26166,0.36314568,1185.7261,0.1887169,-77.237854,-1.1682202,1599.8729,0.14079796,841.45135,0.39785248,-77.54901,-1.0355482,2648.2615,0.08985163,834.05237,0.43445513,-79.107666,-1.0002215,-13.709852,-0.35149813,21.810745,0.26078734,0.006012974,6.233209,-0.0205418,-0.50331855,1.0252562,1.0700024,22.87662,0.35394868,4.873015,2.190166,7.5030813,1.7550621,-8.264429,-1.6201291,-11.77435,20.31936,-0.018625246,-0.0144283995,0.62408,2.4326675,3.8394415,0.16522728,0.15860884,0.08552631,0.062773496,-23.35225
Group_01,Group_01_6,48.27000000000107,58.200000000001445,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.996616,0.25284648,23.264212,33.24398,36.44125,13.177038,366.94275,539.602,236.2339,299.35867,1.087834,0.56028605,0.5776468,0.94366384,1.5502694,0.9726226,13.0622635,7.8621325,10.05729,5.9398685,0.85914534,0.8540506,22.215517,0.4048294,3.6346176,3.3192232,11.98382,1.1205415,-10.338285,-1.4750252,0.073986374,1.5624534,1.4248543,0.5495039,2.7499156,1.7192885,5.011365,2.065376,18.790686,0.42126766,475.44788,0.36117345,1150.9813,0.20136686,-49.32008,-1.6402341,1572.6113,0.13486274,815.9981,0.47705263,-54.917866,-1.2810777,2615.7786,0.091654226,775.94385,0.50097543,-56.466675,-1.231237,-13.15493,-0.3612575,20.681734,0.29753822,0.014832109,2.2060912,-0.023147758,-0.44083735,0.9659516,0.8145332,24.189651,0.30820802,1.7116597,6.9005156,13.206264,1.0529361,-12.614563,-1.241231,-11.104293,18.22566,-0.015097596,-0.016993565,0.48818663,3.517588,3.3333335,0.22727272,0.1957158,0.06423077,0.05024349,-24.8444
Group_01,Group_01_7,58.68000000000146,73.74000000000203,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.413187,0.23462364,22.285065,26.648027,32.88774,10.602676,339.831,420.13562,105.96947,75.84976,1.2110091,0.57990515,0.6542232,0.9975985,1.707965,1.0537418,14.366841,10.008913,11.988061,10.731102,1.0053242,0.8103836,20.941835,0.49069607,6.203581,1.8351905,11.825989,1.1310636,-7.0621824,-2.0617037,0.07258549,1.5691096,1.4756314,0.6343399,1.7741104,2.273079,1.8630762,5.451163,17.32163,0.4570768,496.06195,0.38902596,1160.8342,0.19182274,-53.95927,-1.5258642,1594.1166,0.1467555,800.9222,0.39253634,-61.550335,-1.2116317,2638.396,0.0993037,839.012,0.48006973,-63.03662,-1.1698676,-13.679872,-0.34128052,21.526495,0.3107005,0.0017977732,18.982044,-0.022490902,-0.5071215,1.0985218,0.7928236,23.923555,0.35957018,4.6484995,2.3884723,13.4234295,1.0593505,-9.049769,-1.7128432,-10.353672,17.474976,-0.025603224,-0.01511067,0.7398768,3.713528,3.262317,0.22061223,0.24532701,0.075238094,0.055473637,-23.655035
Group_01,Group_01_8,75.7800000000021,89.52000000000263,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.475588,0.2912709,17.291573,22.5308,27.498058,10.206486,285.6194,340.40173,197.4525,268.4573,0.7885935,0.76707715,0.4330226,0.63623786,0.9914382,0.55841565,29.076397,66.77884,10.491485,16.788391,0.60801923,1.2185801,19.366661,0.44560486,9.410073,0.94866705,8.5740385,1.1916153,-1.7594928,-5.5742054,0.07370914,1.5807848,1.4317987,0.5764379,0.2768664,15.853605,5.0575824,3.0413473,20.674746,0.6451191,500.6714,0.33851767,1213.1211,0.16580969,-102.19158,-0.8938049,1568.6826,0.15249248,906.0492,0.34380051,-108.06013,-0.7824376,2633.2012,0.10205216,821.38715,0.5000925,-109.54924,-0.75925213,-15.275553,-0.3272201,23.358265,0.27228522,-0.020007243,-1.5973815,-0.017566968,-0.48792756,0.6438345,0.77835363,23.458187,0.29836592,10.258517,0.84241605,10.480802,0.9863215,-3.8509228,-2.838846,-11.643609,19.557137,-0.038059004,-0.01094717,0.5739727,0.8720931,3.798393,0.12653846,0.1510334,0.125625,0.106338814,-28.103666
Group_01,Group_01_9,90.15000000000263,96.9600000000029,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20.821901,0.2322863,15.741036,21.000856,24.093626,8.35259,278.51193,249.29202,244.64001,370.24344,0.6028102,0.6637923,0.37628227,0.5092039,0.71438676,0.3381045,10.378308,10.637996,12.826609,20.60714,0.4225795,0.83574885,17.843876,0.5412366,12.219497,0.64034414,11.297053,0.86161697,0.6677442,13.098766,0.12927051,1.4301119,1.5342884,0.6210233,-1.626982,-1.9375548,5.822442,2.6530662,19.239006,0.5303086,518.8329,0.37687665,1251.7714,0.17368145,-96.63261,-0.9214426,1596.8264,0.14640261,954.15533,0.37189454,-101.43209,-0.8209872,2663.246,0.09204387,800.17316,0.4403535,-102.56851,-0.8018959,-15.6321,-0.2917943,23.294802,0.23908,-0.029199244,-0.8523519,-0.0151449125,-0.5260271,0.38658217,0.47745687,21.590849,0.3029833,13.090944,0.5560566,12.033611,0.71927327,1.7530297,4.8375974,-10.265296,17.35184,-0.033933766,-0.011098021,0.4757207,2.1961932,4.451039,0.116000004,0.08138796,0.10076923,0.07415799,-33.594627
